australian_appl_no,patent_status_type,examination_section_name,invention_description
2004319687,GRANTED,MECH 2 - Construction and Mining,Sequential closing system for safety storage cabinets
2004320467,CEASED,MECH 1 - Mechanical Engineering,Apparatus producing superheated water and/or steam for weed killing and other applications
2004320712,CEASED,ELEC 2 - Electronics and Communications,Systems and methods for scalably encoding and decoding data
2004320725,LAPSED,MECH 4 - Medical Devices,Intramedullary nail
2004320849,LAPSED,,Systems and subsystems for risk assessment and management
2004320921,LAPSED,MECH 4 - Medical Devices,Surgical nail
2004320940,GRANTED,MECH 1 - Mechanical Engineering,Wind turbine drive assembly
2004321034,LAPSED,CHEM 2 - Chemical Compounds,Drug for treating or preventing duplication of hypertension with serum hyperuricemia and/or hypercholesterolemia
2004321084,LAPSED,,New chiral columns with broad chiral selectivity
2004321118,LAPSED,,Systems and methods for managing litigation and other matters
2004321145,CEASED,MECH 2 - Construction and Mining,"Corner canvas and take-up shaft therefor, and corner awning device"
2004321203,LAPSED,MECH 2 - Construction and Mining,Angled guide plate and system for fixing rails for rail vehicles
2004321251,LAPSED,MECH 3 - Process Engineering,Compressed chewing gum tablet
2004321256,LAPSED,CHEM 4 - Polymers and Applied Chemistry,"Interference generating, colored coating for surgical implants and instruments"
2004321298,LAPSED,MXT - Mixed Technology,An amusement ride installation
2004321429,LAPSED,,Dental composition containing unsaturated carbosilane containing components
2004321431,LAPSED,,Dental composition containing epoxy functional polymerizable compounds
2004321432,LAPSED,,Dental composition containing Si-H functional carbosilane components
2004321433,CEASED,CHEM 2 - Chemical Compounds,N-glycosylated antibody
2004321434,LAPSED,,Dental composition containing unsaturated carbosilane containing components
2004321435,LAPSED,,Dental composition containing an epoxy functional carbosilane compound
2004321459,GRANTED,ELEC 2 - Electronics and Communications,A method for detecting frequent handover in the wireless local area network
2004321469,CEASED,ELEC 2 - Electronics and Communications,Context-based encoding and decoding of signals
2004321507,LAPSED,,Loyalty system for financial products
2004321509,LAPSED,,Knee joint prosthesis
2004321547,CEASED,MECH 2 - Construction and Mining,Articulated razor having two shaving heads
2004321550,LAPSED,,High-performance tyre for a motor vehicle
2004321592,LAPSED,MECH 3 - Process Engineering,Filter cleaning head
2004321687,CEASED,MECH 2 - Construction and Mining,"Highwall mining system, conveyor segment and method for providing such a mining system"
2004321718,GRANTED,ELEC 1 - Physics,Meter electronics and method for detecting a residual material in a flow meter assembly
2004321804,CEASED,MECH 3 - Process Engineering,Waste water purification apparatus
2004321815,LAPSED,ELEC 1 - Physics,Item having silicone inserts printed by serigraphy and process for manufacturing said item
2004321817,LAPSED,,Superconducting composite wire made from magnesium diboride
2004321819,GRANTED,CHEM 4 - Polymers and Applied Chemistry,"Polyarylene sulfide oxide, solid article and process for producing the same"
2004321853,CEASED,CHEM 4 - Polymers and Applied Chemistry,Process for preparing (S)-alpha-cyano-3-phenoxybenzyl-(S)-2-(4-chlorophenyl)-isovalerate
2004321861,GRANTED,MECH 1 - Mechanical Engineering,Bottle closure
2004321919,GRANTED,MECH 1 - Mechanical Engineering,Method and apparatus for processing animals
2004321956,LAPSED,,Multi-layer polyolefin film
2004321974,CEASED,MECH 3 - Process Engineering,Method and apparatus for the purification of ground water
2004321975,GRANTED,MECH 4 - Medical Devices,An absorbent article
2004321977,CEASED,MECH 2 - Construction and Mining,A hinge
2004321982,GRANTED,ELEC 1 - Physics,Split balance weights for eliminating density effect on flow
2004321997,LAPSED,CHEM 2 - Chemical Compounds,Nicotinamide derivatives and their use as therapeutic agents
2004322006,GRANTED,,Silk peptide improving neuroprotective and neurofunctional effects and a method of its preparation
2004322051,LAPSED,MECH 2 - Construction and Mining,Slewing type working machine
2004322058,GRANTED,MECH 3 - Process Engineering,Energy management in a power generation plant
2004322079,GRANTED,ELEC 3 - Computing,"Method for obtaining cash at cardless teller machines, using a payment order via SMS"
2004322084,CEASED,CHEM 4 - Polymers and Applied Chemistry,Use of fatty alcohols as plasticizer to improve the physical-mechanical properties and processability of PHB and its co-polymers
2004322142,LAPSED,ELEC 2 - Electronics and Communications,Information device comprising a housing
2004322161,CEASED,CHEM 1 - Biotechnology,Analyte test system for determining the concentration of an analyte in a physiological or aqueous fluid
2004322162,CEASED,CHEM 4 - Polymers and Applied Chemistry,Use of transthyretin as a biomarker for colorectal adenoma; method for detection and test system
2004322167,LAPSED,MECH 4 - Medical Devices,Intervertebral implant
2004322187,GRANTED,ELEC 2 - Electronics and Communications,Method and apparatus for monostatic borehole radar
2004322201,GRANTED,ELEC 3 - Computing,"Java applet, jar file creating method, jar file creating program, and jar file creating device"
2004322231,GRANTED,MECH 2 - Construction and Mining,Tables
2004322237,GRANTED,MXT - Mixed Technology,Immunomodulating oxopyrrazolocinnolines as CD80 inhibitors
2004322248,CEASED,MECH 1 - Mechanical Engineering,Device for producing aboveground open or closed structures
2004322268,CEASED,MECH 3 - Process Engineering,"Delamination-resistant multilayer container, preform and method of manufacture"
2004322269,LAPSED,CHEM 2 - Chemical Compounds,Low VOC silanol additive and methods for producing same
2004322279,CEASED,ELEC 1 - Physics,Condom testing apparatus
2004322280,LAPSED,,High durability refractory composition
2004322284,LAPSED,MECH 1 - Mechanical Engineering,Head assembly for a rotary line trimmer
2004322306,LAPSED,MECH 4 - Medical Devices,Systems and methods of utilizing electrical readings in the determination of treatment
2004322309,LAPSED,CHEM 1 - Biotechnology,Methods of using cleavable solid phases for isolating nucleic acids
2004322310,LAPSED,CHEM 1 - Biotechnology,Cleavable solid phases for isolating nucleic acids
2004322350,GRANTED,MECH 3 - Process Engineering,Filter unit of air conditioner
2004322351,CEASED,MECH 3 - Process Engineering,Air conditioner
2004322411,LAPSED,MXT - Mixed Technology,Program selection system
2004322412,CEASED,CHEM 1 - Biotechnology,An economical and efficient method for mass production of spirulina
2004322424,CEASED,MECH 2 - Construction and Mining,Process and system for avoiding collisions for moveable machines
2004322435,GRANTED,ELEC 2 - Electronics and Communications,Method and system for detecting the phase wiring of an unknown phase voltage relative to a reference phase voltage
2004322452,GRANTED,MECH 4 - Medical Devices,Screw-in enossal dental implant
2004322478,GRANTED,MECH 2 - Construction and Mining,Clamp for holding solar collectors on roofs
2004322480,LAPSED,MXT - Mixed Technology,Golf club head
2004322538,LAPSED,MECH 4 - Medical Devices,Incising cell to basement membrane bonds
2004322585,LAPSED,,Freight container
2004322632,GRANTED,ELEC 1 - Physics,Symmetric nozzle arrangement
2004322641,CEASED,MXT - Mixed Technology,Gyrase inhibitors and uses thereof
2004322654,GRANTED,MECH 1 - Mechanical Engineering,Method and apparatus for reducing noise in a roots-type blower
2004322659,CEASED,CHEM 4 - Polymers and Applied Chemistry,Novel silicate-based yellow-green phosphors
2004322660,CEASED,CHEM 4 - Polymers and Applied Chemistry,Novel phosphor systems for a white light emitting diode (LED)
2004322670,LAPSED,"Vacant - A1 PBR, Plants and Biotechnology",Nucleic acids and corresponding proteins entitled 58P1D12 useful in treatment and detection of cancer
2004322685,CEASED,MECH 4 - Medical Devices,Two stage hemofiltration that generates replacement fluid
2004322702,GRANTED,CHEM 4 - Polymers and Applied Chemistry,Radiopaque polymeric stents
2004322703,WITHDRAWN,"Vacant - A1 PBR, Plants and Biotechnology",Risedronate compositions and their methods of use
2004322707,LAPSED,,Compressed composite delivery system for release-rate modulation of bioactives
2004322708,LAPSED,,"T-shirt style bag with registered advertising strip, apparatus and method for making same"
2004322718,GRANTED,ELEC 2 - Electronics and Communications,Method and apparatus for a power system for phased-array radar
2004322719,GRANTED,ELEC 2 - Electronics and Communications,Method and apparatus for converting power
2004322730,GRANTED,MECH 3 - Process Engineering,Steam pyrolysis as a process to enhance the hydro-gasification of carbonaceous materials
2004322740,GRANTED,MECH 2 - Construction and Mining,Roman style shade
2004322742,LAPSED,,Soft tissue biopsy instrument
2004322745,GRANTED,ELEC 1 - Physics,A flow meter  having removable and replaceable displacement member
2004322755,CEASED,ELEC 2 - Electronics and Communications,Active keyboard system for handheld electronic devices
2004322756,CEASED,MECH 4 - Medical Devices,Aerosol drug delivery device incorporating percussively activated heat packages
2004322757,LAPSED,,Inhalation actuated percussive ignition system
2004322758,GRANTED,MECH 4 - Medical Devices,Flashback blood collection needle
2004322798,GRANTED,MECH 1 - Mechanical Engineering,Hinge conveyor chain
2004322803,LAPSED,CHEM 1 - Biotechnology,"Alanine 2, 3 aminomutases"
2004322805,CEASED,CHEM 4 - Polymers and Applied Chemistry,Thermoplastic vulcanizates and process to prepare them
2004322856,LAPSED,MECH 4 - Medical Devices,"Artificial intervertebral disk insertion jig and jig set, and artificial intervertebral disk"
2004322882,LAPSED,ELEC 2 - Electronics and Communications,Method and system to assign mobile stations to an unlicensed mobile access network controller in an unlicensed radio access network
2004322883,GRANTED,ELEC 2 - Electronics and Communications,Limit redirections in an unlicensed mobile access network
2004322918,GRANTED,MXT - Mixed Technology,"Tissue product, method of manufacture of a tissue product and apparatus for embossing a tissue ply"
2004322928,LAPSED,,Method and devices for the continuous processing of renewable raw materials
2004322930,LAPSED,MECH 4 - Medical Devices,A hand-held motorized injection device with haptic feedback for highly viscous materials
2004322947,GRANTED,MECH 3 - Process Engineering,Composite sparger
2004322949,LAPSED,,Air conditioning system
2004322952,WITHDRAWN,,Wheel spinning launcher and wheel toy
2004322955,GRANTED,MECH 2 - Construction and Mining,Storage of natural gas in liquid solvents and methods to absorb and segregate natural gas
2004322968,GRANTED,MECH 4 - Medical Devices,Inflatable nuclear prosthesis
2004322970,CEASED,MXT - Mixed Technology,Method for redesign of microbial production systems
2004322980,LAPSED,MXT - Mixed Technology,System for searching of properties having favorable attributes
2004323001,LAPSED,CHEM 3 - Pharmaceuticals,Process for isolating biomaterial from tissue and an isolated biomaterial extract prepared therefrom
2004323018,GRANTED,MECH 3 - Process Engineering,Pd-containing coating for low chlorine overvoltage
2004323089,GRANTED,MXT - Mixed Technology,Reactive working material for use in hydrogen production by decomposition of water
2004323096,LAPSED,,"Apparatus, system and method for beverage forming"
2004323107,CEASED,MXT - Mixed Technology,Netting material with reflective or luminescent marker
2004323123,LAPSED,,Implantable medical site
2004323129,LAPSED,MECH 3 - Process Engineering,Collector for a solar thermal power station
2004323140,GRANTED,MECH 4 - Medical Devices,Surgical stapling instrument
2004323141,GRANTED,MECH 2 - Construction and Mining,Column comprising an adapter rail
2004323162,CEASED,ELEC 2 - Electronics and Communications,Luminescent signage component
2004323163,LAPSED,MXT - Mixed Technology,Method and plant for the treatment of fibrous material susceptible to degradation by biological activity
2004323185,LAPSED,,Splinting orthopedic and rehabilitative product
2004323215,LAPSED,MECH 3 - Process Engineering,Heat exchanger and superheated steam generating device using the same
2004323285,GRANTED,MECH 1 - Mechanical Engineering,Disposable capsule for drinks
2004323291,LAPSED,,Apparatus for photodynamic therapy
2004323298,LAPSED,CHEM 4 - Polymers and Applied Chemistry,Composition useful for providing NOx removing coating on material surface
2004323329,CEASED,ELEC 2 - Electronics and Communications,Method and device for splicing electric cables
2004323338,GRANTED,MECH 4 - Medical Devices,Calibrating device
2004323347,CEASED,CHEM 3 - Pharmaceuticals,Topical compositions containing phosphorylated polyphenols
2004323351,LAPSED,,Electrical connector device
2004323367,LAPSED,MECH 3 - Process Engineering,An imprinted polymer support
2004323374,CEASED,ELEC 2 - Electronics and Communications,Authentication system and method based upon random partial digitized path recognition
2004323385,LAPSED,,Home equity protection contracts and method for trading them
2004323396,CEASED,CHEM 4 - Polymers and Applied Chemistry,Method and apparatus for the extraction of gibbsite from bauxite
2004323411,GRANTED,MECH 4 - Medical Devices,Sampler
2004323448,CEASED,MXT - Mixed Technology,Anti-theft and safety mechanism for bottles
2004323501,LAPSED,ELEC 2 - Electronics and Communications,Method and system for controlling change of an access point in a communication system
2004323504,GRANTED,MECH 3 - Process Engineering,Filtering element for liquids and filtering installation comprising same
2004323536,LAPSED,MECH 3 - Process Engineering,Method and system for modifying a used hydrocarbon fluid to create a cylinder oil
2004323564,LAPSED,,Apparatus and method for receiving and storing recyclable product
2004323577,LAPSED,CHEM 3 - Pharmaceuticals,Carrier-free composition for the treatment of onychomycosis
2004323582,LAPSED,,Methods for detecting abnormal epithelial tissue
2004323587,GRANTED,MECH 4 - Medical Devices,Surgical knife blade with hollow bevel
2004323600,GRANTED,MECH 4 - Medical Devices,Method for production of disposable absorbent articles
2004323623,GRANTED,CHEM 4 - Polymers and Applied Chemistry,Ethylene/vinyl alcohol copolymer composition and multilayer structure using the same
2004323629,GRANTED,CHEM 4 - Polymers and Applied Chemistry,"Apparatus and method for receiving, storing and distributing blood bags"
2004323637,CEASED,MECH 1 - Mechanical Engineering,Deformation preventive structure of cab
2004323664,LAPSED,ELEC 3 - Computing,Universal ice-skate and roller-skate
2004323686,GRANTED,ELEC 2 - Electronics and Communications,Optical cable for communication
2004323687,GRANTED,ELEC 1 - Physics,Water-resistant optical cable and manufacturing method
2004323717,GRANTED,MECH 4 - Medical Devices,Quasi-spherical orbital implant
2004323721,LAPSED,MXT - Mixed Technology,Cyclodextrin inclusion complexes and methods of preparing same
2004323735,LAPSED,,Paling fences
2004323808,CEASED,,Process for producing mycophenolic acid using penicillium arenicola BICC 7673
2004323809,LAPSED,CHEM 2 - Chemical Compounds,Process for the preparation of amorphous fluvastatin sodium
2004323810,GRANTED,CHEM 2 - Chemical Compounds,Novel intermediates useful for the preparation of aripiprazole and methods for the preparation of the novel intermediates and aripiprazole
2004323812,GRANTED,MECH 2 - Construction and Mining,Apparatus and method for preparing and delivering a beverage with the use of a raw matter contained in a cartridge
2004323848,GRANTED,MECH 4 - Medical Devices,Surgical stapling instrument
2004323874,WITHDRAWN,,Confectionery product
2004323881,LAPSED,MECH 3 - Process Engineering,Structural arrangement for vibrating equipments
2004323883,CEASED,ELEC 2 - Electronics and Communications,RFID transponder information security methods systems and devices
2004323904,GRANTED,MECH 4 - Medical Devices,Absorbent article comprising an elastic web material
2004323911,LAPSED,MECH 1 - Mechanical Engineering,Mirror angle adjuster
2004323928,GRANTED,CHEM 4 - Polymers and Applied Chemistry,Additive for feeds and feed containing the same
2004323944,LAPSED,,"Printing structure of medium surface on which dot pattern is formed by printing, printing method, and its reading method"
2004323972,LAPSED,MECH 4 - Medical Devices,Intramedullary pin for insertion into the medullary space of a femur
2004324028,CEASED,MECH 3 - Process Engineering,Method and equipment for whole tyre pyrolysis
2004324030,CEASED,CHEM 2 - Chemical Compounds,"Piperidinic derivatives, pharmaceutic compositions containing the same and preparation processes"
2004324037,LAPSED,ELEC 3 - Computing,Plectrum holder
2004324039,GRANTED,ELEC 2 - Electronics and Communications,Method and apparatus for processing routing requests
2004324040,LAPSED,CHEM 4 - Polymers and Applied Chemistry,Pre-blend cement compositions containing non-chloride accelerators
2004324043,LAPSED,MECH 4 - Medical Devices,Methods and devices for repair or replacement of heart valves or adjacent tissue without the need for full cardiopulmonary support
2004324049,LAPSED,MECH 4 - Medical Devices,Light-directed method for detecting and aiding further evaluation of abnormal mucosal tissue
2004324063,CEASED,CHEM 1 - Biotechnology,Enzyme-based device for environmental monitoring
2004324064,LAPSED,MECH 2 - Construction and Mining,Turbulent flow washing apparatus and method
2004324065,CEASED,MECH 4 - Medical Devices,Method and apparatus for delivering an agent to the abdomen
2004324067,CEASED,,Method and apparatus for delivering an agent to the abdomen
2004324068,CEASED,MECH 4 - Medical Devices,Method and apparatus for delivering an agent to the abdomen
2004324074,CEASED,MECH 4 - Medical Devices,Method and apparatus for delivering an agent to the abdomen
2004324075,CEASED,MECH 4 - Medical Devices,Surgical system for laparoscopic surgery
2004324079,GRANTED,CHEM 4 - Polymers and Applied Chemistry,"Well drilling and servicing fluids with magnesia bridging solids and methods of drilling, completing and working over a well therewith"
2004324084,CEASED,MECH 1 - Mechanical Engineering,Screw compressor seal
2004324086,LAPSED,MECH 4 - Medical Devices,Intra-abdominal pressure monitoring device and method
2004324094,LAPSED,,Method for detecting the onset of structural collapse of burning structures
2004324097,GRANTED,ELEC 1 - Physics,Compensation method and apparatus for a coriolis flow meter
2004324099,GRANTED,CHEM 4 - Polymers and Applied Chemistry,Tissue engineered meat for consumption and a method for producing tissue engineered meat for consumption
2004324107,LAPSED,MECH 3 - Process Engineering,Rotary bearing support
2004324109,LAPSED,MXT - Mixed Technology,Pressure vessel door seal mechanism
2004324119,CEASED,ELEC 3 - Computing,Golf swing tempo measurement system
2004324151,CEASED,MXT - Mixed Technology,Toy ball
2004324156,LAPSED,,"Method for valuing forwards, futures and options on real estate"
2004324158,LAPSED,ELEC 2 - Electronics and Communications,Re-attachable container identifiers
2004324159,LAPSED,MECH 2 - Construction and Mining,Low pressure fitting
2004324161,LAPSED,,Device for high-heeled shoes and method of constructing a high-heeled shoe
2004324162,GRANTED,MECH 3 - Process Engineering,Pyrolytic process and apparatus for producing enhanced amounts of aromatic compounds
2004324170,LAPSED,,Wind powered generator platform
2004324174,GRANTED,MECH 3 - Process Engineering,Improved method and apparatus for concentrating a slurry
2004324176,CEASED,CHEM 2 - Chemical Compounds,COP1 molecules and uses thereof
2004324177,LAPSED,,Enhanced beacon signaling method and apparatus
2004324192,LAPSED,,Method for treating tumors using anti-osteopontin antibodies
2004324193,CEASED,MECH 1 - Mechanical Engineering,Compressor sound suppression
2004324223,LAPSED,,Universal intervertebral disc prosthesis
2004324236,CEASED,CHEM 1 - Biotechnology,Neuron regeneration
2004324237,GRANTED,CHEM 2 - Chemical Compounds,Process for the esterification of a carbothioic acid
2004324246,GRANTED,MECH 1 - Mechanical Engineering,Netting material with breathable material panels and method of wrapping with netting material
2004324250,GRANTED,MECH 3 - Process Engineering,Improved process for the preparation of fatty acid methyl ester (Biodiesel) from triglyceride oil through transesterification
2004324295,LAPSED,,"Composite ceramic structure, method for producing same and wall structure using such composite ceramic structure"
2004324296,CEASED,ELEC 1 - Physics,Micro-electromechanical pressure sensor
2004324310,GRANTED,ELEC 2 - Electronics and Communications,System and method for adaptive microphone matching in a hearing aid
2004324313,LAPSED,MECH 2 - Construction and Mining,"Method for operating a sheeting machine for laying pipes, and sheeting machine"
2004324314,GRANTED,MXT - Mixed Technology,Locking device
2004324387,GRANTED,ELEC 2 - Electronics and Communications,Method and device for coating the junction area between at least two elongated elements in particular between electric cables
2004324394,GRANTED,MXT - Mixed Technology,Self-deployable tent comprising an internal chamber
2004324443,LAPSED,MECH 3 - Process Engineering,A micro-volume liquid ejection system
2004324464,LAPSED,CHEM 2 - Chemical Compounds,Methods of optimizing antibody variable region binding affinity
2004324468,GRANTED,,Spas and bathing systems with upgradeable and interchangeable jet stations
2004324474,LAPSED,,Activated aluminum/depolymerized zirconium antiperspirant compositions
2004324479,LAPSED,MECH 4 - Medical Devices,Systems and methods for sling delivery and placement
2004324481,GRANTED,,Isomerization catalyst and processes
2004324488,GRANTED,MECH 2 - Construction and Mining,Fastener module for a window covering and method
2004324519,GRANTED,ELEC 2 - Electronics and Communications,Informing recipient device of message content properties
2004324528,LAPSED,,Self-ligating bracket comprising lateral runners
2004324543,GRANTED,ELEC 2 - Electronics and Communications,Water-blocked optical cable and process for the production thereof
2004324546,GRANTED,MECH 5 - Packaging and Appliances,Secure authenticated channel
2004324570,LAPSED,MECH 2 - Construction and Mining,"Clinching tool, die and method for use thereof"
2004324609,CEASED,MECH 3 - Process Engineering,Process for multiple stage direct electrowinning of copper
2004324610,CEASED,MXT - Mixed Technology,"Process for recovery of copper from copper-bearing material using pressure leaching, direct electrowinning and solvent/solution extraction"
2004324627,GRANTED,MECH 4 - Medical Devices,Absorbing article comprising an absorbing structure comprising a deformation layer
2004324632,LAPSED,MECH 4 - Medical Devices,Method of and unit for determining the cardiac output of the human heart
2004324668,LAPSED,MECH 4 - Medical Devices,Supporting device for the suspension treatment of the tobacco habit
2004324676,LAPSED,,Chiropractic machine
2004324693,GRANTED,"Vacant - A1 PBR, Plants and Biotechnology",Nonaqueous preparation for percutaneous absorption containing nonsteroidal anti-inflammatory analgesic
2004324701,LAPSED,ELEC 2 - Electronics and Communications,Inter-system hand-over of a mobile terminal operable with a first and a second radio access network
2004324704,GRANTED,MECH 4 - Medical Devices,Catheter for vascular access and method for manufacturing the same.
2004324705,LAPSED,ELEC 3 - Computing,Method and apparatus for electro-biometric indentity recognition
2004324709,GRANTED,ELEC 2 - Electronics and Communications,Congestion control in a wireless mobile system
2004324720,GRANTED,CHEM 4 - Polymers and Applied Chemistry,Liquid transition nutrition for infants
2004324724,LAPSED,MECH 1 - Mechanical Engineering,Auxiliary-handle fixing clip for modular headliner of automobile
2004324733,GRANTED,ELEC 3 - Computing,Apparatus for controlling standby power
2004324762,CEASED,ELEC 2 - Electronics and Communications,Method and system for detecting attempts at malicious action against an installation under surveillance
2004324765,CEASED,MECH 2 - Construction and Mining,A container-grater for a friable food product
2004324767,LAPSED,MECH 2 - Construction and Mining,Device for handicapped people access to tellers and counters
2004324799,LAPSED,ELEC 3 - Computing,Prepaid payment card that can be instantly recharged remotely by coupon
2004324801,LAPSED,,Optical recording disc and method for recording data on an optical recording disc
2004324826,GRANTED,MECH 2 - Construction and Mining,Corrosion protection system for a construction including a stay cable
2004324827,GRANTED,ELEC 1 - Physics,"A tower part for a wind turbine, an aperture cover system, a method for manufacturing a tower part and uses hereof"
2004324847,LAPSED,MECH 3 - Process Engineering,Solid fuels for fuel cells
2004324849,CEASED,CHEM 4 - Polymers and Applied Chemistry,Methods for Preventing and/or Extinguishing Fires
2004324858,LAPSED,"Vacant - A1 PBR, Plants and Biotechnology",Compressed solid dosage form manufacturing process well-suited for use with drugs of low aqueous solubility and compressed solid dosage forms made thereby
2004324860,LAPSED,,"Providing unidirectional hinge, increased buoyancy and passive tensioning for buoyant-slat automatic pool cover systems"
2004324862,CEASED,MECH 2 - Construction and Mining,Electroacoustic method and device for stimulation of mass transfer processes for enhanced well recovery
2004324868,LAPSED,CHEM 3 - Pharmaceuticals,High-dosage extended-release formulation of gepirone
2004324869,GRANTED,CHEM 4 - Polymers and Applied Chemistry,"An adjuvant composition for use with herbicides, pesticides, insecticides, ovicides and fungicides and method of application"
2004324870,LAPSED,,Aminated polyamines
2004324873,GRANTED,CHEM 4 - Polymers and Applied Chemistry,Organochromium/ metallocene combination catalyst for producing bimodal resins
2004324901,GRANTED,MECH 3 - Process Engineering,Method for producing steel pipe plated with metal by thermal spraying
2004324918,CEASED,CHEM 3 - Pharmaceuticals,Variants of pigment epithelium derived factor and uses thereof
2004324960,LAPSED,,A testing method of nucleic acid binding protein based on biochip
2004324964,LAPSED,,Mechanical disc braking assembly
2004324967,LAPSED,MECH 3 - Process Engineering,Rotary valve for industrial fluid flow control
2004324972,LAPSED,,Framing members and their inter-connection
2004324978,LAPSED,ELEC 3 - Computing,Method and device for conducting a blackjack-type card game
2004324989,LAPSED,ELEC 1 - Physics,Methods for reducing corneal staining in contact lens wearers
2004325004,GRANTED,ELEC 1 - Physics,Method for designing spectacle lenses taking into account an individual's head and eye movement
2004325005,LAPSED,,Multifocal ophthalmic lenses
2004325009,LAPSED,MECH 3 - Process Engineering,Device and method for boiler superheat temperature control
2004325035,GRANTED,CHEM 2 - Chemical Compounds,Novel composition and methods for the treatment of immune related diseases
2004325038,GRANTED,CHEM 4 - Polymers and Applied Chemistry,Thickener composition for dysphagia patients
2004325166,LAPSED,,On/off-road tire for a motor vehicle
2004325168,LAPSED,,"A wind turbine, a method for assembling and handling the wind turbine and uses hereof"
2004325170,GRANTED,MXT - Mixed Technology,Method for correcting height defects in a track
2004325173,GRANTED,ELEC 2 - Electronics and Communications,Cable manufacturing process
2004325175,GRANTED,MECH 5 - Packaging and Appliances,Joint IC card and wireless transceiver module for mobile communication equipment
2004325187,GRANTED,MECH 5 - Packaging and Appliances,Shaped spiral wound pipe
2004325189,CEASED,CHEM 1 - Biotechnology,An expression vector encoding coronavirus-like particles
2004325199,GRANTED,"Vacant - A1 PBR, Plants and Biotechnology","Method for designing polypeptides for the nanofabrication of thin films, coatings and microcapsules by electrostatic layer-by-layer self assembly."
2004325200,LAPSED,MECH 4 - Medical Devices,Rotary rehabilitation apparatus and method
2004325202,GRANTED,MECH 4 - Medical Devices,"Devices, systems, and methods for medicament delivery"
2004325203,LAPSED,,Dried forms of aqueous solubilized bile acid dosage formulation: preparation and uses thereof
2004325239,LAPSED,,Solid state photosensitive devices which employ isolated photosynthetic complexes
2004325245,LAPSED,,System and method for termination of a wire rope
2004325253,GRANTED,ELEC 1 - Physics,Method and apparatus for determining flow pressure using density information
2004325277,LAPSED,CHEM 4 - Polymers and Applied Chemistry,Method of sample analysis and apparatus therefor
2004325279,GRANTED,MECH 4 - Medical Devices,Absorbent article
2004325349,LAPSED,,A resonating (alerting) metered dose inhaler
2004325362,GRANTED,CHEM 2 - Chemical Compounds,Process of preparation of biodegradable films from semi refined kappa carrageenan
2004325365,CEASED,MECH 4 - Medical Devices,Two stage plunger for intraocular lens injector
2004325369,GRANTED,ELEC 2 - Electronics and Communications,"System, method and computer program product for video fingerprinting"
2004325386,LAPSED,ELEC 1 - Physics,"Method, system and device for imparting a predetermined rotation to an optical fibre"
2004325387,GRANTED,MXT - Mixed Technology,Coach screw driver
2004325414,GRANTED,MECH 4 - Medical Devices,Integrated vehicular system for low speed collision avoidance
2004325427,GRANTED,MECH 2 - Construction and Mining,Quick-change and plug eject arbor for a hole saw
2004325469,CEASED,CHEM 3 - Pharmaceuticals,Pharmaceutical composition for improving palatability of drugs and process for preparation thereof
2004325491,GRANTED,MECH 3 - Process Engineering,Martensitic stainless steel pipe for oil well
2004325493,LAPSED,MECH 4 - Medical Devices,Biopolymer powder gelating/jetting apparatus
